,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
194305,5.7949,8.5862,13.0055,10.6306,14.9524,16.3047,10.5788,9.399,8.2268,14.8329,5.1938,4.8934,8.1455,6.309,12.9223,3.1616,7.0317,5.5789,8.5793,10.0143,5.3826,4.532,7.0141,6.0723,5.0958
194306,0.9553,0.7619,-0.7059,2.8167,-1.8988,-1.2413,1.7469,0.0697,0.9945,1.6937,2.871,1.3299,0.8109,3.3129,-2.451,1.8073,2.363,0.8035,2.5558,-3.9434,2.0144,3.0891,0.2838,0.3804,0.7517
194307,-16.4896,-1.7745,-7.9963,-5.9392,-7.8279,-3.4143,-5.0125,-5.2699,-8.892,-11.7626,-4.6199,-6.3585,-5.5449,-6.5793,-9.4204,-5.2717,-3.9544,-6.43,-9.0257,-10.3327,-5.4779,-3.4555,-1.8768,-4.5047,-4.3526
194308,-6.6784,-4.3176,-0.5314,-1.2555,-0.8568,0.5357,-0.6876,-0.5048,0.6597,2.3386,2.3382,0.6073,0.3387,2.49,0.1933,2.3678,1.4041,0.2978,0.9876,-1.3805,1.4077,1.4871,1.7064,0.3106,1.1736
194309,8.4694,1.5928,2.7791,3.2332,5.9778,5.4289,2.8683,2.8834,3.9105,8.172,1.374,2.5894,3.7701,1.2843,6.6165,0.8665,3.3699,4.7658,3.5591,2.51,2.4974,1.7717,2.2721,3.0407,3.2422
194310,-2.141,-0.3058,0.5018,2.3948,-1.7159,-3.2329,0.8265,1.3162,4.1039,-2.7601,-0.8279,-0.5717,-0.25,0.9779,-1.6677,-2.0782,-1.4465,-1.4602,1.5856,2.4558,-1.7459,-1.1333,-1.0803,0.5424,-0.8588
194311,-14.0126,-5.3932,-7.1699,-10.1032,-14.1044,-7.5148,-7.8593,-5.5947,-4.7079,-14.9092,-7.0689,-6.8726,-8.3138,-7.8996,-12.8344,-6.9209,-5.6578,-8.0813,-9.1538,-14.1974,-4.8076,-4.2712,-6.4877,-7.8801,-12.768
194312,8.9676,4.9249,10.7369,13.5142,12.6407,7.0718,6.708,12.5721,11.7508,12.5118,7.9819,9.0859,8.3382,8.8294,15.7526,7.2674,8.0886,9.0132,9.8061,12.2195,5.3055,5.8309,6.3898,6.221,7.8386
194401,8.0478,8.0421,5.0743,3.0882,8.0665,4.2353,5.505,3.9642,5.0509,7.6703,3.9164,3.5192,3.131,3.4787,5.9918,2.0607,1.5304,2.6766,2.928,5.2678,0.6633,0.8685,2.1308,2.0844,9.1275
194402,4.2091,1.7977,2.2485,2.9407,4.2063,2.3804,0.2378,1.3429,-4.7214,3.8711,2.8035,0.9277,-0.0699,0.8569,4.9072,1.0226,1.3768,0.819,-1.2296,6.0236,0.0969,-0.1083,0.6112,1.4586,4.7096
194403,8.2516,11.9394,5.289,5.0888,7.6327,1.6276,2.4395,3.7273,4.0308,14.1541,2.8764,3.7459,4.2537,4.5427,4.3338,1.0504,2.8605,2.9328,5.0542,2.8128,2.6772,1.6917,1.7438,3.0072,5.0739
194404,-5.4491,1.3368,-2.9085,-1.9945,-4.1276,-1.5315,-1.7929,-2.7772,-3.9169,-5.6214,-3.0149,-3.1038,-3.4738,-2.2968,-1.3574,-2.6616,-2.0661,-3.6274,-2.9054,-5.2525,-1.2439,-1.434,-1.5843,-1.0446,-1.2181
194405,7.4232,3.1873,11.825,6.2987,8.9582,4.8092,5.9504,5.5202,6.0187,8.0855,6.0468,7.2857,7.0285,5.7606,8.9116,4.7283,5.7156,6.1302,8.7231,7.9632,4.4244,4.6415,4.5694,4.4676,6.9633
194406,25.5976,13.4864,11.0699,14.8749,16.4767,12.0914,12.2158,5.0843,8.0794,9.128,5.523,8.6611,8.9322,9.5558,10.0834,6.5495,7.9801,8.3494,13.7934,9.9768,5.5149,3.6637,3.3282,5.8671,5.2524
194407,-4.1347,-2.3762,-0.7855,0.92,-3.8132,-0.8906,0.1697,-2.3508,-2.477,-1.067,-0.1106,-0.6887,-0.6024,-1.4012,-1.1856,0.0808,-1.1469,-1.3678,-2.6761,-0.4568,-1.9723,-1.5467,-1.1749,-1.1116,-0.5295
194408,7.1724,2.4903,2.0055,2.6762,3.2524,2.8471,4.2744,4.5304,4.6689,-1.146,2.8391,4.4415,3.8456,3.4923,2.1926,0.6855,3.2811,2.5836,3.784,1.1102,1.7379,0.2024,2.0295,1.1035,0.1025
194409,-1.4081,2.4103,2.9529,-0.086,-0.4183,2.4724,-0.2984,-1.4869,0.032,1.2961,0.7294,0.8961,-1.1596,2.0701,0.2798,-0.1871,-1.0268,-0.1584,1.7166,-0.6282,0.484,-0.3351,0.148,-0.356,0.1527
194410,0.2275,1.3302,1.1239,0.3501,0.6171,-1.1309,0.6466,0.8242,0.6455,-0.9217,-1.2861,1.2811,0.0226,-0.9322,-0.4749,-0.1914,-0.5712,-0.9406,0.4472,-1.098,-0.2982,0.9371,1.2962,-0.3183,0.8241
194411,2.2641,-0.8189,2.9322,4.915,1.6752,2.3444,1.4312,3.431,3.2832,4.0616,0.4752,2.6088,1.3272,1.6997,3.7115,1.6258,2.2797,2.4147,4.7806,1.5505,1.0686,1.6719,2.094,2.5278,3.8827
194412,2.3957,2.2269,6.5294,7.2626,15.2508,6.8372,5.4455,7.5938,6.8884,14.035,5.2757,7.9706,5.8869,5.4206,10.8515,3.348,4.8889,5.6518,6.5141,12.17,2.1536,3.1555,4.8466,4.7381,11.8035
194501,21.6976,5.6074,6.0942,4.7783,3.8313,4.7371,3.7714,5.1232,6.7762,3.4336,4.0797,4.3168,3.8475,3.3517,4.6418,2.8509,3.0586,3.066,1.622,3.5428,1.0247,0.7403,3.0205,6.0042,1.1586
194502,6.2352,4.7196,9.4887,7.8017,11.4091,7.4173,7.3892,10.5928,8.0604,12.0272,6.6889,5.7622,9.2252,9.1012,10.4484,6.762,6.4225,7.1238,10.7741,14.3486,5.2451,5.1824,5.1406,7.5566,8.837
194503,-8.311,-6.9837,-9.1488,-8.2636,-11.823,-3.7709,-5.6285,-6.979,-4.3683,-1.5206,-4.2053,-5.8084,-5.3445,-6.0171,-7.4397,-3.9851,-3.7897,-3.5425,-5.0282,-4.9147,-3.8402,-2.735,-3.7389,-5.6498,-3.6548
194504,3.6222,8.0732,9.6619,8.6539,8.5092,6.8113,7.01,9.9301,8.397,15.4506,8.7082,10.2203,6.8546,8.382,12.0237,6.9111,8.4785,8.0901,7.7788,12.7892,7.6007,6.1136,7.7762,8.6208,11.0384
194505,0.9271,9.1655,3.7191,2.4622,6.1613,3.4051,2.415,1.0892,2.4602,7.6004,0.5006,0.9243,3.1892,4.6444,2.0762,2.4287,1.2498,2.924,1.037,3.2654,1.6437,2.0504,0.7805,-0.2752,1.5367
