,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
11,0.008876312,0.032316644,0.030954918,0.039393106,0.044008888,0.026732923,0.018514231,0.036147872,0.032517998,0.019250867,0.058870529,0.023138413,-0.003476669,0.011236206,-0.061897123,0.054446202,-0.041589272,0.031495505
12,-0.009457473,-0.018897725,-0.013814557,-0.033580726,-0.028771918,-0.043654593,-0.015927684,-0.086242843,-0.071855293,-0.053339906,-0.040578477,-0.069301969,-0.04387531,-0.101807078,-0.068812495,-0.10630605,-0.055417331,-0.098306438
13,-0.100878361,0.010565025,-0.004241763,-0.034265819,-0.050842444,-0.03296844,-0.053354055,-0.096902215,-0.126890665,-0.055785719,-0.068995834,-0.030602707,-0.028135955,-0.042788353,-0.0336169,-0.129863151,0.00638463,-0.080273037
14,-0.10475358,-0.101036282,-0.04779873,-0.046876026,-0.041183196,-0.070526961,-0.056042468,-0.132894512,-0.088586001,-0.052145182,-0.037692542,-0.119560556,-0.063118643,-0.125053172,-0.038569452,-0.129369698,-0.054236198,-0.087940855
15,-0.090791838,-0.046273969,-0.017444436,-0.007766104,-0.021903571,-0.018443084,-0.015774261,-0.007749535,0.022798109,-0.021227072,0.007260143,-0.006598481,-0.068173631,-0.003355304,-0.061410377,-0.03534979,-0.107162746,-0.11037795
16,0.063428518,0.049046169,0.042677046,0.029829701,0.048661116,0.016717107,0.011835075,0.033496583,0.090694826,-0.00413755,0.030677987,0.104287304,0.084719886,-0.010720712,-0.004146903,0.024919638,0.082469652,0.005422882
17,-0.034939428,-0.052024411,-0.039673856,-0.042020566,-0.0453894,-0.028491462,0.012709386,-0.076281144,-0.058411951,-0.070382857,-0.045398112,-0.051926613,-0.054067535,-0.054077323,-0.08392821,-0.062682686,-0.081412217,-0.083882065
18,-0.094332132,-0.09643741,-0.009418755,-0.027615826,-0.033267565,-0.027540836,-0.036013612,-0.000117704,-0.01338484,0.143049854,-0.090478514,-0.081176533,-0.038118714,-0.098455544,-0.052384705,-0.133780556,-0.090593993,-0.008426371
19,-0.07745077,-0.064535446,0.003875245,-0.040716737,-0.026496393,-0.02776434,-0.028005004,-0.056969186,-0.019674278,-0.132529094,-0.098388348,-0.027210077,-0.029480927,-0.017356803,-0.020236188,-0.08380602,-0.072614406,-0.035909752
20,0.142683918,0.134032828,0.09359021,0.117251059,0.081331354,0.136469124,0.016392967,0.087919051,0.0614532,0.126792618,0.076105236,0.112683808,0.061707974,0.048359791,0.021661509,0.061288945,0.028640447,0.004767233
21,-0.029395228,-0.028137678,0.019406565,0.021212217,0.054444351,-0.004110377,0.043410862,-0.000929516,-0.02361334,0.008397039,-0.006403657,0.008524638,-0.002050527,-0.036154041,-0.047290614,-0.002875333,0.016093271,0.007477928
22,0.099243055,0.184143149,0.115389524,0.115926355,0.125880568,0.097599551,0.056584835,0.223425776,0.101058659,0.08609987,0.141832158,0.05602658,0.156161038,0.168668404,0.107402461,-0.007427729,0.083704956,0.117197079
23,0.006618844,0.041971575,0.068421259,0.019668427,0.090585103,0.039101525,0.073057255,0.064329462,0.087737142,0.066425979,0.082102514,0.058577475,0.009767967,0.067903043,0.04113934,-0.011139427,0.010993335,0.027405207
24,0.057948568,0.067048368,0.028958797,0.007505909,0.003072341,0.008933085,0.006343458,0.050800878,-0.021854201,0.01401652,-0.009463198,-0.036433054,-0.061448027,0.090739692,-0.033683321,-0.027768769,-0.020180565,-0.000525713
25,0.037254062,0.022977203,0.029649982,0.029633472,0.020192308,0.051803101,0.033767844,0.071593727,0.052151878,0.048342115,0.050677918,0.052577161,0.028063958,0.144756728,0.192160342,0.112498024,0.160680891,0.012735149
26,-0.005549654,0.039273643,0.032478777,0.026765748,0.039395448,0.015694679,0.017103802,-0.022335616,0.020455678,-0.017050313,0.047911051,0.024784731,0.025192263,-0.041969353,0.047761821,-0.017113675,0.0104071,-0.043870234
27,0.018206946,0.022736299,0.016655302,0.043473918,0.04470987,0.031736338,0.091598744,0.01752488,0.019452407,0.052663718,0.018756236,-0.006649052,0.008692827,-0.014674728,-0.039766037,0.03288233,0.117378531,-0.033317849
28,0.067962971,0.071442028,0.057395233,0.078852663,0.051578871,0.055742828,0.019645175,0.074542394,0.102972251,0.068062308,0.081751461,0.090006315,0.031642176,0.024806008,0.197596957,0.069679278,0.011579199,0.119502706
29,0.002244685,0.03084349,-0.014257347,-0.002363178,0.018533621,-0.001095632,0.081469873,0.066988654,0.026842911,-0.010531133,0.090329862,0.01320448,0.054548903,0.121286446,0.026376625,0.143894169,0.092235186,0.098373197
30,0.032685208,0.033407711,0.044971457,0.029791769,0.025488696,0.01638591,0.045937989,0.016049199,0.021230067,0.0979298,0.118262284,0.050726683,0.022530688,0.032885749,0.014341787,0.044055564,0.030566208,0.009283959
31,-0.02955143,-0.077876367,-0.040271009,-0.033169411,-0.023829729,-0.050905333,-0.020808204,-0.068870111,-0.053591478,-0.002617637,-0.019536715,-0.049001139,-0.051448326,-0.09744386,-0.033138204,-0.022362012,-0.084262369,-0.089210534
