,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
197908,5.53,1.98,-1.52,1.58,-1.45,0.77,-0.23
197909,-0.82,-0.27,-0.87,1.02,0.54,0.83,5.34
197910,-8.1,-3.46,-1.81,1.04,0.24,0.87,2.12
197911,5.21,2.44,-3.38,0.11,-2,0.99,7.96
197912,1.79,4.35,-2.04,-0.67,-1.01,0.95,4.78
198001,5.51,1.9,1.72,-1.67,2.01,0.8,7.51
198002,-1.22,-1.5,0.66,0.11,3.03,0.89,7.88
198003,-12.9,-6.97,-1.02,1.38,-1.34,1.21,-9.59
198004,3.97,1,1.01,-2.09,0.54,1.26,-0.42
198005,5.26,2.1,0.38,0.31,-0.47,0.81,-1.11
198006,3.06,1.47,-0.85,-0.09,-0.95,0.61,1.59
198007,6.49,3.93,-6.29,3.94,-2.46,0.53,0.37
198008,1.8,4.26,-2.64,2.1,-0.8,0.64,3.19
198009,2.19,0.58,-4.77,2.03,-2.81,0.75,5.44
198010,1.06,2.33,-2.77,1.67,-1.22,0.95,7.32
198011,9.59,-3.41,-8.36,4.53,-5.74,0.96,15.24
198012,-4.52,-0.3,2.73,-1.25,1.18,1.31,-6.65
198101,-5.04,3.38,6.83,-3.54,4.35,1.04,-7.94
198102,0.57,-0.49,1,0.19,2.25,1.07,-1.39
198103,3.56,3.07,0.69,-2.34,-0.53,1.21,0.73
198104,-2.11,4.6,2.29,0.82,1.2,1.08,-0.95
198105,0.11,2.45,-0.47,0.33,-1.6,1.15,3.75
198106,-2.36,-0.96,5.1,-1.35,2.68,1.35,-5.9
198107,-1.54,-1.97,-0.68,1.08,-3.04,1.24,-2.52
198108,-7.04,-1.81,4.84,-0.25,1.46,1.28,-1.12
198109,-7.17,-2.5,5.2,-0.02,2.79,1.24,1.97
198110,4.92,2.24,-4.22,3.29,-2.76,1.21,4.07
198111,3.36,-1.38,1.89,0.1,0.63,1.07,-0.26
198112,-3.65,1.19,0.75,0.19,2.41,0.87,1.32
198201,-3.24,-1.18,3.19,-1.52,2.08,0.8,1.73
198202,-5.86,0.36,6.1,-3.38,4.57,0.92,5
198203,-1.87,0,3.79,-1.44,2.37,0.98,2.93
198204,3.27,1.15,-2.77,1.51,-0.15,1.13,-0.41
198205,-3.99,0.56,1.8,0.91,-0.09,1.06,2.55
198206,-3.09,-0.51,1.54,0.03,2.72,0.96,5
198207,-3.19,0.95,0.12,1.03,1.54,1.05,4.47
198208,11.14,-4.29,1,-1.96,0.18,0.76,-3.52
198209,1.29,2.58,0.33,2.12,-0.04,0.51,4.17
198210,11.3,1.92,-3.73,0.3,-0.37,0.59,0.03
198211,4.67,4.53,-1.89,-1.05,0.32,0.63,5.89
198212,0.55,-0.01,-0.03,-0.07,1.03,0.67,0.02
198301,3.6,3.28,-0.81,-1.5,-0.46,0.69,-1.7
198302,2.59,2.91,0.7,-0.57,1.02,0.62,3.83
198303,2.82,1.41,2.05,-0.07,2.81,0.63,0.93
198304,6.67,0.48,0.56,-0.16,1.6,0.71,1.8
198305,0.52,6.22,-1.42,-1.85,-1.53,0.69,-1.59
198306,3.07,1.15,-3.93,2.52,-0.89,0.67,1.78
198307,-4.07,0.98,5.61,-0.03,2.84,0.74,-3.13
198308,-0.5,-4.34,5.56,0.45,1.95,0.76,-5.44
198309,0.91,0.25,1.08,1.21,0.59,0.76,-0.1
198310,-3.44,-3.82,5.07,-0.81,2.97,0.76,-4.56
198311,2.16,1.88,-0.64,-0.48,0.64,0.7,-0.09
198312,-1.78,-0.47,1.68,1.59,1.21,0.73,0.74
198401,-1.92,-0.07,7.62,-0.93,3,0.76,-2.49
198402,-4.82,-1.62,3.36,0.82,1.57,0.71,0.19
198403,0.63,-0.28,0.51,-0.93,1.09,0.73,1.09
198404,-0.51,-1.02,1.27,3.27,0.76,0.81,2.05
198405,-5.97,0.08,0.26,2.32,-0.5,0.78,1.52
198406,1.82,0.07,-2.62,3.08,-1.51,0.75,-0.7
198407,-2.74,-2.22,0.48,3.69,-2.17,0.82,2.93
198408,10.28,-0.3,-1.82,-0.89,-0.81,0.83,-5.69
198409,-0.8,0,5.32,1.4,2.53,0.86,3.67
198410,-0.84,-1.43,0.51,1.17,-1.16,1,3.21
198411,-1.76,-0.98,4.08,0.81,2.08,0.73,1.7
198412,1.84,-0.69,-0.2,1.21,-1.26,0.64,1.54
198501,7.99,3.5,-5.41,-0.83,-3.36,0.65,-6.9
198502,1.22,1,-0.13,1.26,1.03,0.58,1.82
198503,-0.84,-1.48,4.1,1.18,2.94,0.62,1.68
198504,-0.96,-0.1,3.72,1.59,0.71,0.72,3.06
198505,5.09,-2.33,-0.92,1.3,-1.39,0.66,4
198506,1.27,0.35,0.5,1.69,-0.59,0.55,3.63
198507,-0.74,2.89,-1.68,-0.45,-0.31,0.62,-3.94
198508,-1.02,-0.32,2.32,-0.04,1.88,0.55,1.82
198509,-4.54,-1.81,1.31,1.16,1.61,0.6,1.48
198510,4.02,-1.55,0.78,0.92,-1.11,0.65,4.88
198511,6.48,0,-2.88,0.29,-2.33,0.61,-0.4
198512,3.88,-0.39,-1.52,0.97,-1.8,0.65,-0.13
198601,0.65,1.01,0.52,-2.02,-2.05,0.56,2.96
198602,7.13,-0.75,-0.85,1.15,-1.39,0.53,2.78
198603,4.88,-0.57,-0.44,1.12,0.99,0.6,2.45
198604,-1.31,2.92,-2.86,2.91,0.02,0.52,-0.5
198605,4.62,-1.26,-0.14,2.08,1.11,0.49,2.02
198606,1.03,-0.88,1.36,1.83,0.87,0.52,5.16
198607,-6.45,-3.54,4.76,-0.57,0.61,0.52,1.8
198608,6.07,-4.37,3.5,-1.74,3.24,0.46,-5.01
198609,-8.6,1.96,3.16,-0.05,3.62,0.45,-5.86
198610,4.66,-2.33,-1.37,0.13,0.89,0.46,2.69
198611,1.17,-1.88,-0.13,1.12,0.61,0.39,-0.32
198612,-3.27,0.07,0.27,0.83,-0.03,0.49,0.4
198701,12.47,-1.52,-3.26,0.2,-1.09,0.42,2.1
198702,4.39,3.41,-5.97,-0.9,-2.76,0.43,-2.17
198703,1.64,0.22,1.62,1.36,4.03,0.47,1.6
198704,-2.11,-1.55,-0.34,-0.46,1.22,0.44,0.26
198705,0.11,-0.6,0.22,0.52,1.32,0.38,-0.68
198706,3.94,-2.29,1.01,1.73,0.83,0.48,-0.2
198707,3.85,-1.11,0.67,-0.5,1.56,0.46,2.67
198708,3.52,-0.9,-0.92,2.03,-1.59,0.47,-0.87
198709,-2.59,0.37,0.27,-0.9,1.89,0.45,0.71
198710,-23.24,-8.08,4.2,2.01,2.39,0.6,-7.86
198711,-7.77,2.83,3.13,-1.92,0.71,0.35,-1.14
