year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1991,8,0.4610,2.3150,1.2856,-0.0439,1.1556,-0.2208
1991,9,0.4558,-1.5905,1.8102,-0.8246,-0.3653,0.2770
1991,10,0.4246,1.2859,0.6530,1.2670,0.1021,3.1848
1991,11,0.3915,-4.1854,-0.2919,0.2795,3.3436,0.4427
1991,12,0.3792,10.8282,-1.4823,-2.0517,6.7572,-0.4819
1992,1,0.3059,-0.5576,8.3435,1.5152,-4.0947,1.4886
1992,2,0.2828,1.0845,1.3866,2.2368,0.7602,2.2047
1992,3,0.3376,-2.6540,-1.2026,2.0030,1.0144,1.9610
1992,4,0.3303,1.0759,-6.9510,1.7925,-1.7002,1.9513
1992,5,0.2758,0.2999,-0.2694,0.3129,-0.2016,-0.7390
1992,6,0.3201,-2.3291,-2.6443,0.6352,1.0312,0.7850
1992,7,0.2892,3.7905,-0.7693,0.4004,2.6295,0.0544
1992,8,0.2605,-2.3768,-0.3119,-0.7408,1.4856,-0.9159
1992,9,0.2573,1.1929,0.6767,-0.3963,2.3929,-0.8258
1992,10,0.2286,1.0160,1.5295,-0.3951,2.1301,0.6002
1992,11,0.2346,4.1282,3.6265,-1.2597,0.8819,-0.2100
1992,12,0.2270,1.5885,2.7478,1.4148,1.8144,1.0234
1993,1,0.2335,0.9306,2.3004,2.9452,-1.4324,0.0798
1993,2,0.2209,0.1217,-3.3377,3.6514,-1.4408,2.3166
1993,3,0.2538,2.3138,0.0007,0.9470,1.7886,0.4714
1993,4,0.2372,-3.0466,-1.1491,1.2218,-3.0049,2.0458
1993,5,0.2168,2.8845,1.8096,-0.7862,-0.5640,-0.3906
1993,6,0.2756,0.2822,1.5931,1.8164,3.0124,1.6362
1993,7,0.2402,-0.3440,1.4132,1.4579,-0.5457,0.8878
1993,8,0.2530,3.7117,-0.0100,-0.0355,0.4808,0.7241
1993,9,0.2356,-0.1006,3.1119,0.2698,0.9296,1.4222
1993,10,0.2210,1.4145,0.4217,-0.5462,-1.4207,-1.4347
1993,11,0.2477,-1.8646,-1.8610,-0.7556,-0.7580,0.1243
1993,12,0.2263,1.6455,2.1179,-0.2518,2.3731,2.2608
1994,1,0.2503,2.8658,0.1737,1.1137,-0.9383,0.9359
1994,2,0.2120,-2.5445,2.6587,-0.4873,2.6569,1.6242
1994,3,0.2469,-4.7557,-0.9388,0.9514,0.2233,1.3591
1994,4,0.2711,0.6802,-0.8260,1.2981,1.5307,1.5047
1994,5,0.3150,0.5799,-1.9787,0.4984,-0.7572,1.2092
1994,6,0.3118,-3.0381,-0.8580,0.9295,0.1864,1.3322
1994,7,0.2751,2.8162,-1.4279,0.4364,0.7146,-0.1197
1994,8,0.3687,4.0149,2.0881,-0.6869,2.0603,2.6417
1994,9,0.3659,-2.2847,2.2136,0.5698,1.0828,0.9959
1994,10,0.3840,1.3464,-1.8428,0.2235,0.3868,2.4574
1994,11,0.3691,-4.0277,0.5320,-0.9901,1.3723,1.4754
1994,12,0.4430,0.8589,1.0777,1.1041,3.7739,3.7011
1995,1,0.4156,1.7978,-2.4157,-0.0308,-0.0283,1.1285
1995,2,0.3983,3.6324,-0.6967,-0.8330,0.5083,1.1642
1995,3,0.4134,2.2365,-1.2134,0.1458,1.2604,0.7807
1995,4,0.4450,2.1075,-0.0073,0.0296,0.1390,3.4517
1995,5,0.5355,2.8944,-2.2084,0.8614,-1.0023,1.4499
1995,6,0.4714,2.7154,3.2159,-1.7432,2.1335,1.8421
1995,7,0.4522,3.7124,1.7621,-2.5443,0.9451,0.3125
1995,8,0.4637,0.5520,2.3542,2.1996,0.1377,1.2812
1995,9,0.4309,3.3514,-0.7905,1.9328,1.3917,3.1241
1995,10,0.4714,-1.5134,-5.0256,0.7822,2.7798,4.4602
1995,11,0.4108,3.9629,-0.7575,1.1262,-0.2398,-1.3013
1995,12,0.4882,1.0392,0.6312,3.1163,0.2794,0.4136
1996,1,0.4278,2.2598,-2.6868,2.4510,-1.5087,1.4254
1996,2,0.3908,1.3296,2.7361,-0.9876,3.1394,0.7778
1996,3,0.3943,0.7287,1.8736,-0.6897,0.2765,-1.3504
1996,4,0.4579,2.0648,5.1861,-1.8073,2.8686,1.1859
1996,5,0.3982,2.3872,4.4625,1.0265,1.8631,-1.4703
1996,6,0.4000,-1.1340,-4.2983,1.7381,0.8660,1.6771
1996,7,0.4497,-5.9558,-3.3590,2.0165,2.4150,2.9724
1996,8,0.4122,2.7697,2.4813,-1.8529,0.1305,-1.3916
1996,9,0.4375,5.0077,-1.4462,-1.7381,2.2071,2.9848
1996,10,0.4246,0.8673,-2.4191,3.6633,1.8831,3.2962
1996,11,0.3941,6.2614,-3.5342,-1.3080,0.8165,5.3963
1996,12,0.4404,-1.6799,3.3260,1.2226,0.9371,1.7018
1997,1,0.4014,5.0130,-0.7923,-0.6468,1.8122,2.6010
1997,2,0.3788,-0.4744,-2.4667,2.9153,-1.5374,0.6485
1997,3,0.4310,-5.0188,-0.5279,1.7515,1.7709,0.2089
1997,4,0.4313,4.0341,-4.7257,-1.8801,3.8599,2.9735
1997,5,0.4263,6.7964,5.0197,-3.2305,-0.2201,-1.4727
1997,6,0.3744,4.0933,1.0328,0.2313,2.1089,0.1422
1997,7,0.4294,7.3152,-1.4173,-3.0399,1.2853,1.2955
1997,8,0.4058,-4.0954,7.4956,-0.7059,-1.4190,0.4363
1997,9,0.4576,5.3264,2.4352,-0.1261,-1.0420,-2.6033
1997,10,0.3911,-3.7644,-1.0927,2.6610,-1.0476,-1.4223
1997,11,0.3773,2.9981,-5.5213,2.8803,1.4024,3.6401
1997,12,0.4629,1.3480,-2.2237,2.2364,1.5724,-2.3959
1998,1,0.4204,0.1509,-1.2161,-1.2059,2.1885,2.5963
1998,2,0.3847,7.0327,1.0585,-2.4530,1.1389,-0.2927
1998,3,0.4485,4.7031,-0.3380,0.4998,-0.1759,-1.0943
1998,4,0.4308,0.7322,0.4968,0.1833,-0.1992,2.2790
